"genus" "family" "order"
"Aaronsohnia_pubescens" "Aaronsohnia" "Asteraceae" "Asterales"
"Abarema_adenophora" "Abarema" "Fabaceae" "Fabales"
"Abarema_adenophorum" "Abarema" "Fabaceae" "Fabales"
"Abarema_alexandri" "Abarema" "Fabaceae" "Fabales"
"Abarema_auriculata" "Abarema" "Fabaceae" "Fabales"
"Abarema_barbouriana" "Abarema" "Fabaceae" "Fabales"
"Abarema_brachystachya" "Abarema" "Fabaceae" "Fabales"
"Abarema_cochleata" "Abarema" "Fabaceae" "Fabales"
"Abarema_floribunda" "Abarema" "Fabaceae" "Fabales"
"Abarema_jupunba" "Abarema" "Fabaceae" "Fabales"
"Abarema_laeta" "Abarema" "Fabaceae" "Fabales"
"Abarema_langsdorffii" "Abarema" "Fabaceae" "Fabales"
"Abarema_macradenia" "Abarema" "Fabaceae" "Fabales"
"Abarema_mataybifolia" "Abarema" "Fabaceae" "Fabales"
"Abarema_microcalyx" "Abarema" "Fabaceae" "Fabales"
"Abarema_piresii" "Abarema" "Fabaceae" "Fabales"
"Abarema_racemiflora" "Abarema" "Fabaceae" "Fabales"
"Abatia_parviflora" "Abatia" "Salicaceae" "Malpighiales"
"Abelia_biflora" "Abelia" "Caprifoliaceae" "Dipsacales"
"Abelia_dielsii" "Abelia" "Caprifoliaceae" "Dipsacales"
"Abelia_grandiflora" "Abelia" "Caprifoliaceae" "Dipsacales"
"Abelia_triflora" "Abelia" "Caprifoliaceae" "Dipsacales"
"Abelmoschus_crinitus" "Abelmoschus" "Malvaceae" "Malvales"
"Abelmoschus_esculentus" "Abelmoschus" "Malvaceae" "Malvales"
"Abelmoschus_ficulneus" "Abelmoschus" "Malvaceae" "Malvales"
"Abelmoschus_manihot" "Abelmoschus" "Malvaceae" "Malvales"
"Abelmoschus_moschatus" "Abelmoschus" "Malvaceae" "Malvales"
"Abies_alba" "Abies" "Pinaceae" "Pinales"
"Abies_amabilis" "Abies" "Pinaceae" "Pinales"
"Abies_balsamea" "Abies" "Pinaceae" "Pinales"
"Abies_beshanzuensis" "Abies" "Pinaceae" "Pinales"
"Abies_borisii-regis" "Abies" "Pinaceae" "Pinales"
"Abies_bracteata" "Abies" "Pinaceae" "Pinales"
"Abies_cephalonica" "Abies" "Pinaceae" "Pinales"
"Abies_chensiensis" "Abies" "Pinaceae" "Pinales"
"Abies_cilicica" "Abies" "Pinaceae" "Pinales"
"Abies_concolor" "Abies" "Pinaceae" "Pinales"
"Abies_delavayi" "Abies" "Pinaceae" "Pinales"
"Abies_fabri" "Abies" "Pinaceae" "Pinales"
"Abies_fargesii" "Abies" "Pinaceae" "Pinales"
"Abies_firma" "Abies" "Pinaceae" "Pinales"
"Abies_forrestii" "Abies" "Pinaceae" "Pinales"
"Abies_fraseri" "Abies" "Pinaceae" "Pinales"
"Abies_grandis" "Abies" "Pinaceae" "Pinales"
"Abies_guatemalensis" "Abies" "Pinaceae" "Pinales"
"Abies_holophylla" "Abies" "Pinaceae" "Pinales"
"Abies_homolepis" "Abies" "Pinaceae" "Pinales"
"Abies_kawakamii" "Abies" "Pinaceae" "Pinales"
"Abies_koreana" "Abies" "Pinaceae" "Pinales"
"Abies_lasiocarpa" "Abies" "Pinaceae" "Pinales"
"Abies_magnifica" "Abies" "Pinaceae" "Pinales"
"Abies_mariesii" "Abies" "Pinaceae" "Pinales"
"Abies_nebrodensis" "Abies" "Pinaceae" "Pinales"
"Abies_nephrolepis" "Abies" "Pinaceae" "Pinales"
"Abies_nordmanniana" "Abies" "Pinaceae" "Pinales"
"Abies_numidica" "Abies" "Pinaceae" "Pinales"
"Abies_pindrow" "Abies" "Pinaceae" "Pinales"
"Abies_pinsapo" "Abies" "Pinaceae" "Pinales"
"Abies_procera" "Abies" "Pinaceae" "Pinales"
"Abies_recurvata" "Abies" "Pinaceae" "Pinales"
"Abies_religiosa" "Abies" "Pinaceae" "Pinales"
"Abies_sachalinensis" "Abies" "Pinaceae" "Pinales"
"Abies_sibirica" "Abies" "Pinaceae" "Pinales"
"Abies_spectabilis" "Abies" "Pinaceae" "Pinales"
"Abies_squamata" "Abies" "Pinaceae" "Pinales"
"Abies_veitchii" "Abies" "Pinaceae" "Pinales"
"Abies_vejarii" "Abies" "Pinaceae" "Pinales"
"Abies_yuanbaoshanensis" "Abies" "Pinaceae" "Pinales"
"Abies_ziyuanensis" "Abies" "Pinaceae" "Pinales"
"Abrahamia_ditimena" "Abrahamia" "Anacardiaceae" "Sapindales"
"Abronia_ameliae" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_elliptica" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_fragrans" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_latifolia" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_maritima" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_pogonantha" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_turbinata" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_umbellata" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abronia_villosa" "Abronia" "Nyctaginaceae" "Caryophyllales"
"Abrophyllum_ornans" "Abrophyllum" "Rousseaceae" "Asterales"
"Abrus_canescens" "Abrus" "Fabaceae" "Fabales"
"Abrus_laevigatus" "Abrus" "Fabaceae" "Fabales"
"Abrus_precatorius" "Abrus" "Fabaceae" "Fabales"
"Abuta_grandifolia" "Abuta" "Menispermaceae" "Ranunculales"
"Abuta_imene" "Abuta" "Menispermaceae" "Ranunculales"
"Abuta_panamensis" "Abuta" "Menispermaceae" "Ranunculales"
"Abuta_racemosa" "Abuta" "Menispermaceae" "Ranunculales"
"Abuta_rufescens" "Abuta" "Menispermaceae" "Ranunculales"
"Abutilon_abutiloides" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_anglosomaliae" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_angulatum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_auritum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_bidentatum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_cryptopetalum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_dugesii" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_englerianum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_fraseri" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_fruticosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_glabriflorum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_grandifolium" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_greveanum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_hirtum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_incanum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_indicum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_lepidum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_leucopetalum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_longicuspe" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_mauritianum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_otocarpum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_palmeri" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pannosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pseudocleistogamum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_pycnodon" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_ramosum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_sonneratianum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_sylvaticum" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_theophrasti" "Abutilon" "Malvaceae" "Malvales"
"Abutilon_trisulcatum" "Abutilon" "Malvaceae" "Malvales"
"Acacia_acinacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_acradenia" "Acacia" "Fabaceae" "Fabales"
"Acacia_acrionastes" "Acacia" "Fabaceae" "Fabales"
"Acacia_acuifera" "Acacia" "Fabaceae" "Fabales"
"Acacia_acuminata" "Acacia" "Fabaceae" "Fabales"
"Acacia_adoxa" "Acacia" "Fabaceae" "Fabales"
"Acacia_adsurgens" "Acacia" "Fabaceae" "Fabales"
"Acacia_adunca" "Acacia" "Fabaceae" "Fabales"
"Acacia_aestivalis" "Acacia" "Fabaceae" "Fabales"
"Acacia_alata" "Acacia" "Fabaceae" "Fabales"
"Acacia_alcockii" "Acacia" "Fabaceae" "Fabales"
"Acacia_alleniana" "Acacia" "Fabaceae" "Fabales"
"Acacia_amabilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_amblygona" "Acacia" "Fabaceae" "Fabales"
"Acacia_amentacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_ammobia" "Acacia" "Fabaceae" "Fabales"
"Acacia_ampliceps" "Acacia" "Fabaceae" "Fabales"
"Acacia_anceps" "Acacia" "Fabaceae" "Fabales"
"Acacia_ancistrocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_anegadensis" "Acacia" "Fabaceae" "Fabales"
"Acacia_aneura" "Acacia" "Fabaceae" "Fabales"
"Acacia_anfractuosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_angustissima" "Acacia" "Fabaceae" "Fabales"
"Acacia_anthochaera" "Acacia" "Fabaceae" "Fabales"
"Acacia_aphylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_argyrophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_aroma" "Acacia" "Fabaceae" "Fabales"
"Acacia_ascendens" "Acacia" "Fabaceae" "Fabales"
"Acacia_asepala" "Acacia" "Fabaceae" "Fabales"
"Acacia_aspera" "Acacia" "Fabaceae" "Fabales"
"Acacia_assimilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_atkinsiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_aulacocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_auriculiformis" "Acacia" "Fabaceae" "Fabales"
