"la" "ln" "ph" "sla" "ssd" "sm"
"Aaronsohnia_pubescens" NA NA 0.2 NA NA NA
"Abarema_adenophora" 4099.34877853333 24.724015 NA 10.63 0.569442322 NA
"Abarema_adenophorum" 3019 NA NA NA NA NA
"Abarema_alexandri" 675 NA NA NA NA NA
"Abarema_auriculata" 11 NA NA NA NA NA
"Abarema_barbouriana" 29.81125828 NA NA NA 0.14 NA
"Abarema_brachystachya" NA 30.4 NA NA NA NA
"Abarema_cochleata" 700 NA NA NA NA NA
"Abarema_floribunda" 700 NA NA NA NA NA
"Abarema_jupunba" 303.390792041666 26.356390671875 29.25 18.9132412404167 0.6007 160
"Abarema_laeta" 4095.8333335 48.68347675 NA 20.90176284 NA NA
"Abarema_langsdorffii" 366.875 NA 17.1 NA NA 49.516668335
"Abarema_macradenia" 499.0562914 23.39490891 31.19 NA 0.438331582 90
"Abarema_mataybifolia" 4969.67555566667 31.235599047619 25 8.397953238 NA NA
"Abarema_microcalyx" 700 NA NA NA NA NA
"Abarema_piresii" 700 23.25 NA NA NA NA
"Abarema_racemiflora" 3000 NA NA NA NA NA
"Abatia_parviflora" 3668.5 NA NA NA NA NA
"Abelia_biflora" 2333.75 18.4608049 2.5 20.27953314 NA NA
"Abelia_dielsii" NA NA 3 NA NA NA
"Abelia_grandiflora" NA NA 1.6644 NA NA NA
"Abelia_triflora" NA NA NA NA NA 2.5
"Abelmoschus_crinitus" NA NA NA NA NA 18.02
"Abelmoschus_esculentus" NA NA 0.8 NA NA 54.3571428571429
"Abelmoschus_ficulneus" NA NA NA NA NA 22.77
"Abelmoschus_manihot" NA NA NA NA NA 33.3
"Abelmoschus_moschatus" NA NA NA NA NA 26.2
"Abies_alba" 57.841588024758 15.9607630069841 38.5528 6.12722987249405 0.389097104071429 61.477
"Abies_amabilis" NA 11.265 59.13 NA 0.42 39.0578603333333
"Abies_balsamea" 34.20275482 12.5684266912218 13.0437019607843 7.288423425 0.396606928333333 7.6215572
"Abies_beshanzuensis" NA NA 11 NA NA NA
"Abies_borisii-regis" NA NA 30 NA NA NA
"Abies_bracteata" NA NA 26.5 NA NA 35.71
"Abies_cephalonica" NA 12.6 20.5 NA NA 71.43
"Abies_chensiensis" NA NA 60 NA NA NA
"Abies_cilicica" NA NA 30 NA NA 115.38
"Abies_concolor" 52.525 12.84888889 49.8885894736842 5.43963303688103 0.3901515625 30.7752957592593
"Abies_delavayi" NA NA 26.25 NA 0.45 NA
"Abies_fabri" NA NA 40 NA 0.372813 NA
"Abies_fargesii" NA NA 40 NA 0.34 NA
"Abies_firma" NA 11 25.9794444444444 NA NA 40.123
"Abies_forrestii" NA NA 25 NA 0.405277333333333 NA
"Abies_fraseri" 22.80183633 17.83868141 21.668 5.4928610435771 0.34 7.386669
"Abies_grandis" 93.66 13.5555555555556 47.1484019607843 8.915 0.445649445 20.8285004444444
"Abies_guatemalensis" NA NA NA NA 0.43 40
"Abies_holophylla" NA NA 40 NA 0.352895 NA
"Abies_homolepis" NA NA 31 NA NA 17.3545
"Abies_kawakamii" NA NA 27.5 NA NA NA
"Abies_koreana" NA NA 15.1666666666667 NA NA 10
"Abies_lasiocarpa" 77.2491181666667 11.9439451008474 26.2228405518941 3.93791596419444 0.372492532694444 16.8208648020833
"Abies_magnifica" NA NA 52.7073333333334 NA 0.42 69.6032676492063
"Abies_mariesii" NA NA 31.6666666666667 NA NA 26.4433333333333
"Abies_nebrodensis" NA NA 15 NA NA NA
