"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Abelia_biflora" "NA" "woody" "AM" "NA" -0.780911316 1.095539597 -0.454792242 0.021946813
"Abies_alba" "Temperate" "woody" "NA" "NA" -0.144231745 0.338221137 -0.016036316 0.11127523
"Abies_amabilis" "Temperate" "woody" "NA" "NA" NA NA NA -0.026160759
"Abies_balsamea" "Continental" "woody" "NA" "NA" NA NA NA 0.12968845
"Abies_concolor" "NA" "woody" "NA" "NA" -0.215835019 NA NA 0.271981384
"Abies_fargesii" "Temperate" "woody" "NA" "NA" -0.019735949 0.005364449 NA -0.283821075
"Abies_lasiocarpa" "NA" "woody" "NA" "NA" -0.059923826 NA NA NA
"Abies_magnifica" "NA" "woody" "NA" "NA" NA NA NA 0.271981384
"Abies_nephrolepis" "NA" "woody" "EcM" "NA" -0.875420711 0.714582563 0.489710818 -0.090370547
"Abies_procera" "NA" "woody" "NA" "NA" NA NA NA 0.373476849
"Acacia_aneura" "Temperate" "woody" "NA" "Rhizobia" NA NA NA 0.085322434
"Acacia_auriculiformis" "Temperate" "woody" "NA" "Rhizobia" 0.51234964 -0.426241844 0.001141433 0.584476975
"Acacia_crassicarpa" "Temperate" "woody" "EcM-AM" "Rhizobia" 0.74383735 -0.719274424 0.546368172 0.180349924
"Acacia_greggii" "NA" "woody" "NA" "Rhizobia" -0.102632078 NA NA NA
"Acacia_mangium" "Temperate" "woody" "NA" "Rhizobia" 0.116831484 0.07339417 0.22992722 0.4857159
"Acacia_neovernicosa" "NA" "woody" "NA" "Rhizobia" -0.073211696 NA NA NA
"Acacia_nilotica" "Arid" "woody" "NA" "Rhizobia" NA NA NA 0.04411847
"Acer_barbinerve" "NA" "woody" "AM" "NA" 0.295949505 -0.068018977 -0.394853617 0.237429497
"Acer_campbellii" "NA" "woody" "AM" "NA" -0.122938318 -0.515554896 1.20178608 -0.81204554
"Acer_campestre" "NA" "woody" "NA" "NA" -0.054227999 0.03508195 -0.056761375 -0.058846258
"Acer_caudatum" "NA" "woody" "AM" "NA" -0.052747032 -0.17359311 0.38279243 0.244576278
"Acer_coriaceifolium" "Temperate" "woody" "AM" "NA" 0.482423136 -0.513949494 -0.064439505 -0.353312253
"Acer_davidii" "Temperate" "woody" "AM" "NA" 0.213520574 -0.165789642 0.162088631 0.060613345
"Acer_fabri" "Temperate" "woody" "AM" "NA" 0.764745891 -1.086982055 0.492327143 -0.003560226
"Acer_ginnala" "Continental" "woody" "EcM" "NA" 0.10975142 -0.049086405 NA NA
"Acer_glabrum" "NA" "woody" "NA" "NA" -0.037762323 NA NA NA
"Acer_macrophyllum" "NA" "woody" "NA" "NA" NA NA NA 0.163933416
"Acer_negundo" "Continental" "woody" "NA" "NA" 0.153077324 -0.227226721 -0.05380182 0.427289044
"Acer_pictum" "Continental" "woody" "NA" "NA" 0.014325481 0.004479398 0.196468341 -0.058619747
"Acer_platanoides" "Temperate" "woody" "AM" "NA" -0.033150765 -0.0054829 0.055699684 -0.166914532
"Acer_pseudoplatanus" "Temperate" "woody" "AM" "NA" 0.287343248 -0.176642831 -0.067869679 -0.015038123
"Acer_rubrum" "Continental" "woody" "NA" "NA" 0.079124706 -0.07170486 -0.050245592 -0.022976498
"Acer_saccharinum" "Continental" "woody" "NA" "NA" NA NA NA -0.063210294
"Acer_saccharum" "Continental" "woody" "NA" "NA" 0.138205593 -0.078659327 -0.176414875 -0.063104276
"Acer_tataricum" "NA" "woody" "AM" "NA" 0.424088849 -0.192124424 -0.45955911 0.266392692
"Acer_tegmentosum" "Continental" "woody" "AM" "NA" -0.058944091 0.150479526 -0.464050959 0.245102962
"Acer_triflorum" "NA" "woody" "AM" "NA" 0.112631058 -0.185624748 0.184684532 0.720979786
"Acer_truncatum" "Temperate" "woody" "EcM-AM" "NA" 0.407055026 -0.332460611 -0.178673521 0.202881756
"Acer_ukurunduense" "Continental" "woody" "EcM" "NA" -0.072860646 -0.406694449 NA NA
