"Trait","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd"
"la",0.370155121057924,0.00277317542103954,0.387525324289234,0.00359325743089211,0.0696338065608861,0.00307740792173804,0.00595382143791309,0.00540155960171688
"ln",-0.0645962336359091,0.00177214572924645,0.609208458192351,0.000853827459848781,0.0264938407749605,0.000716229518335097,0.145093356825181,0.00367810072689308
"ph",0.570874798833936,0.000812325925339113,-0.0680043946966725,0.00255006887046229,-0.032524921157153,0.00111997939337716,-0.0347694216281216,0.00247612278442559
"sla",-0.07399598065911,0.00205167682530875,0.610814787052406,0.00135781843833123,-0.10874564375376,0.000796018397793085,0.0739981821696062,0.00182570820361359
"ssd",0.50485620002248,0.00128344093581463,-0.246705578271933,0.00202475189567141,-0.0875691548572368,0.000928709816158106,-0.117946381572005,0.00285968699925693
"sm",0.517080966829342,0.00115736911027338,0.0259598642302733,0.00284721494437806,0.161282319680211,0.00528546109573155,-0.00794001812377521,0.00549787082241494
"SRL",-0.0425802512552217,0.000760653847307288,0.0181447987013085,0.000636260228052058,-0.700091048747036,0.000650910980943979,0.16555421892506,0.00187050685244743
"D",0.0108317447384387,0.00142186035314561,-0.032407089864402,0.00101180725873183,0.672665695693994,0.00128212605210449,0.229206369348142,0.00319661877875088
"RTD",0.0561518063746727,0.00223172535188693,0.00784424629465317,0.00157528728863489,0.0320757756702131,0.00312454490926605,-0.770086425572848,0.00542816788806335
"N",-0.00830062846416139,0.00294098818589051,0.194699750472297,0.00684864935770744,0.0646189268066508,0.00482600217264039,0.53391610659349,0.0089782786911574
