"Trait","PC1_mean","PC1_sd","PC2_mean","PC2_sd","PC3_mean","PC3_sd","PC4_mean","PC4_sd"
"la",0.372228200848326,0.00548647907080464,0.385778194014738,0.00723049468646492,0.067298431640833,0.00629145976399266,0.0071135127460118,0.0111359606547069
"ln",-0.0652206682920211,0.00358593042315934,0.60787270538131,0.00174278109267399,0.0254565758102986,0.00145860997093909,0.144761127431854,0.00748186026293676
"ph",0.573572093741808,0.00173581421860869,-0.0695750921991501,0.00509434066246784,-0.0320348801866165,0.00228950830484819,-0.0347115618417154,0.00507944014860949
"sla",-0.0737504299673439,0.00412585070025652,0.611071493163765,0.00274099400544987,-0.107939406241573,0.00161923485901022,0.0753718759406015,0.00379767921758843
"ssd",0.507051531280991,0.00267891474812475,-0.256024185996559,0.0040937303424576,-0.0860174386009583,0.00188569209682501,-0.118528396078317,0.00569798011983662
"sm",0.510316539332605,0.00291124436262534,0.0268175287485376,0.00548393771552151,0.156525482976475,0.0103535088815809,-0.00686066102134926,0.0109568466183869
"SRL",-0.0435274121018338,0.00149398083337035,0.0181803379757138,0.00133413934585173,-0.700685870953471,0.0012454129218715,0.164722566522019,0.00375460068546256
"D",0.0112987076647574,0.0028550694795383,-0.0329079729932807,0.00215752966518974,0.673905884590793,0.00249494817656141,0.229839550438727,0.00655320331398535
"RTD",0.0549044761769332,0.0044426405766557,0.00530507466230753,0.00344648740786368,0.0304505075606725,0.00628835047250634,-0.771948659116531,0.011155455848633
"N",-0.00822738872628613,0.00580251914637041,0.188061457496517,0.0139104824858341,0.062568556057087,0.00963681058283047,0.530334373312297,0.0188777162549491
