analysis,comparison,biome,set,axes_compared,k_compare,metric,obs,p_value,n_shared_species,source_file,k_ref,k_biome,notes,r_equiv
biome_groot_vs_global,biome PCA (groot) vs global imputed reference,continental,NA,PC1–PC3,3,procrustes_similarity,0.9627357374066,1e-4,120,NA,4,3,NA,NA
biome_groot_vs_global,biome PCA (groot) vs global imputed reference,temperate,NA,PC1–PC3,3,procrustes_similarity,0.943846448613219,1e-4,348,NA,4,3,NA,NA
biome_groot_vs_global,biome PCA (groot) vs global imputed reference,tropical,NA,PC1–PC3,3,procrustes_similarity,0.868303822378683,1e-4,82,NA,4,3,NA,NA
imputation_vs_notimputed,global imputed reference vs not-imputed (projected),NA,NA,PC1–PC2,2,procrustes_similarity,0.9787231160880331,1e-4,301,procrustes_imputed_ref_vs_notimputed_projected_PC1PC2.rds,NA,NA,NA,NA
imputation_vs_notimputed,global imputed reference vs not-imputed (projected),NA,NA,PC1–PC4,4,procrustes_similarity,0.9743614945961637,1e-4,301,procrustes_imputed_ref_vs_notimputed_projected_PC1PC4.rds,NA,NA,NA,NA
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0574579200090853,0.1041,1218,NA,NA,NA,NA,0.9708460640034107
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.058692357492118,0.0816,1218,NA,NA,NA,NA,0.9702101022499622
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0590568353048882,0.076,1218,NA,NA,NA,NA,0.9700222495876638
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0565877126449298,0.1231,1218,NA,NA,NA,NA,0.9712941301969605
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0580193533720696,0.0955,1218,NA,NA,NA,NA,0.9705568744941897
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0568832760004533,0.1152,1218,NA,NA,NA,NA,0.9711419690238635
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0565276729132708,0.1243,1218,NA,NA,NA,NA,0.9713250367856937
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0579034424893008,0.0962,1218,NA,NA,NA,NA,0.9706165862536552
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0589133074903608,0.0781,1218,NA,NA,NA,NA,0.9700962284792366
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.056850911170457,0.1162,1218,NA,NA,NA,NA,0.9711586321654887
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0582590378531524,0.0903,1218,NA,NA,NA,NA,0.9704333888252442
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0571812315542199,0.1104,1218,NA,NA,NA,NA,0.9709885521703024
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0572760564246299,0.1095,1218,NA,NA,NA,NA,0.9709397219062418
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0579977843420005,0.0939,1218,NA,NA,NA,NA,0.9705679861081342
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0573549674826717,0.1061,1218,NA,NA,NA,NA,0.9708990846207078
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0555828032605364,0.145,1218,NA,NA,NA,NA,0.9718112968778783
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0588475955811456,0.0796,1218,NA,NA,NA,NA,0.9701300966462459
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0588544454318451,0.0815,1218,NA,NA,NA,NA,0.9701265662624413
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0572081615762262,0.1094,1218,NA,NA,NA,NA,0.9709746847491822
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0588107562929761,0.0798,1218,NA,NA,NA,NA,0.9701490832377382
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0578000812175462,0.0992,1218,NA,NA,NA,NA,0.9706698299537561
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0571996120570009,0.1099,1218,NA,NA,NA,NA,0.9709790872840667
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0579123451170253,0.0951,1218,NA,NA,NA,NA,0.9706120001746191
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0582803921914667,0.0896,1218,NA,NA,NA,NA,0.970422386287813
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0575699154936994,0.1038,1218,NA,NA,NA,NA,0.9707883829683484
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0567400635994855,0.1207,1218,NA,NA,NA,NA,0.9712157002440367
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0580602212225507,0.0935,1218,NA,NA,NA,NA,0.9705358204504609
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0577489286469348,0.1001,1218,NA,NA,NA,NA,0.9706961787052967
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0562377303960874,0.1301,1218,NA,NA,NA,NA,0.9714742763469925
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0582400474784631,0.0909,1218,NA,NA,NA,NA,0.970443173257217
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0580849053775741,0.0921,1218,NA,NA,NA,NA,0.9705231036005407
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0580180308956656,0.096,1218,NA,NA,NA,NA,0.9705575557916875
