"file","n_shared_species","axes","obs","p_value","set"
"imputed_boot_001.rds",1218,"PC1-PC4",0.0574579200090853,0.1041,"oob_1x"
"imputed_boot_002.rds",1218,"PC1-PC4",0.058692357492118,0.0816,"oob_1x"
"imputed_boot_003.rds",1218,"PC1-PC4",0.0590568353048882,0.076,"oob_1x"
"imputed_boot_004.rds",1218,"PC1-PC4",0.0565877126449298,0.1231,"oob_1x"
"imputed_boot_005.rds",1218,"PC1-PC4",0.0580193533720696,0.0955,"oob_1x"
"imputed_boot_006.rds",1218,"PC1-PC4",0.0568832760004533,0.1152,"oob_1x"
"imputed_boot_007.rds",1218,"PC1-PC4",0.0565276729132708,0.1243,"oob_1x"
"imputed_boot_008.rds",1218,"PC1-PC4",0.0579034424893008,0.0962,"oob_1x"
"imputed_boot_009.rds",1218,"PC1-PC4",0.0589133074903608,0.0781,"oob_1x"
"imputed_boot_010.rds",1218,"PC1-PC4",0.056850911170457,0.1162,"oob_1x"
"imputed_boot_011.rds",1218,"PC1-PC4",0.0582590378531524,0.0903,"oob_1x"
"imputed_boot_012.rds",1218,"PC1-PC4",0.0571812315542199,0.1104,"oob_1x"
"imputed_boot_013.rds",1218,"PC1-PC4",0.0572760564246299,0.1095,"oob_1x"
"imputed_boot_014.rds",1218,"PC1-PC4",0.0579977843420005,0.0939,"oob_1x"
"imputed_boot_015.rds",1218,"PC1-PC4",0.0573549674826717,0.1061,"oob_1x"
"imputed_boot_016.rds",1218,"PC1-PC4",0.0555828032605364,0.145,"oob_1x"
"imputed_boot_017.rds",1218,"PC1-PC4",0.0588475955811456,0.0796,"oob_1x"
"imputed_boot_018.rds",1218,"PC1-PC4",0.0588544454318451,0.0815,"oob_1x"
"imputed_boot_019.rds",1218,"PC1-PC4",0.0572081615762262,0.1094,"oob_1x"
"imputed_boot_020.rds",1218,"PC1-PC4",0.0588107562929761,0.0798,"oob_1x"
"imputed_boot_021.rds",1218,"PC1-PC4",0.0578000812175462,0.0992,"oob_1x"
"imputed_boot_022.rds",1218,"PC1-PC4",0.0571996120570009,0.1099,"oob_1x"
"imputed_boot_023.rds",1218,"PC1-PC4",0.0579123451170253,0.0951,"oob_1x"
"imputed_boot_024.rds",1218,"PC1-PC4",0.0582803921914667,0.0896,"oob_1x"
"imputed_boot_025.rds",1218,"PC1-PC4",0.0575699154936994,0.1038,"oob_1x"
"imputed_boot_026.rds",1218,"PC1-PC4",0.0567400635994855,0.1207,"oob_1x"
"imputed_boot_027.rds",1218,"PC1-PC4",0.0580602212225507,0.0935,"oob_1x"
"imputed_boot_028.rds",1218,"PC1-PC4",0.0577489286469348,0.1001,"oob_1x"
"imputed_boot_029.rds",1218,"PC1-PC4",0.0562377303960874,0.1301,"oob_1x"
"imputed_boot_030.rds",1218,"PC1-PC4",0.0582400474784631,0.0909,"oob_1x"
"imputed_boot_031.rds",1218,"PC1-PC4",0.0580849053775741,0.0921,"oob_1x"
"imputed_boot_032.rds",1218,"PC1-PC4",0.0580180308956656,0.096,"oob_1x"
"imputed_boot_033.rds",1218,"PC1-PC4",0.0579319055965197,0.096,"oob_1x"
"imputed_boot_034.rds",1218,"PC1-PC4",0.0582465169237703,0.089,"oob_1x"
"imputed_boot_035.rds",1218,"PC1-PC4",0.0592280104508809,0.0755,"oob_1x"
"imputed_boot_036.rds",1218,"PC1-PC4",0.0572795344275309,0.1081,"oob_1x"
